Comment,Designator,Footprint,LCSC
2u2 100V X7R,"C501, C502, C503, C509, C510, C511, C517, C518",CAP_1210,C385983
100n 100V X7R,"C504, C506, C512, C514, C520, C603",CAP_0805,C710457
1u 50V X7R,"C505, C513",CAP_0603,C559769
22u 25V X7R,"C507, C508, C515, C516, C521, C522",CAP_1210,C2918511
10u 100V X7R,"C519, C904, C1004, C1104",CAP_1210,C5156756
2u2 16V X7R,"C601, C602",CAP_0805,C28234
10n 16V X7R,C604,CAP_0603,C519509
10u 10V X7R,C605,CAP_0805,C2167756
2u2 16V X7R,"C701, C711, C712, C804, C1501, C1601, C1701, C1801, C2001, C2004, C2201",CAP_0603,C914769
100n 16V X7R,"C702, C703, C704, C705, C706, C713, C716, C805, C1502, C1602, C1702, C1802, C2002, C2005, C2202",CAP_0402,C541464
47n 100V X7R,C801,CAP_0603,C576852
2u2 100V X7R,C802,CAP_0805,C6119935
100n 100V X7R,C803,CAP_0603,C408909
1u 100V X7T,C806,CAP_0603,C23829972
1n 16V X7R,"C807, C808, C809, C1503, C1504, C1505",CAP_0402,C726514
1u 6V3 X7R,C810,CAP_0603,C309479
1u 16V X7R,C811,CAP_0603,C723883
1n 100V X7R,"C901, C902, C1001, C1002, C1101, C1102",CAP_0805,C161248
100n 100V X7R,"C903, C1003, C1103",CAP_1206,C726629
100n X7R 100V,"C1201, C1301, C1302, C2003, C2006",CAP_0603,C696916
4u7 16V X7R,C1703,CAP_0402,C5718982
BAT41KFILM,"D901, D902, D903, D1001, D1002, D1003, D1101, D1102, D1103, D1301, D1302, D1504, D1505, D1506",SOD-523,C73150
CG0402MLC-05LG,"D1501, D1502, D1503",D_0402,C711709
CG0402MLC-3.3LG,"D1601, D1602, D1701, D1702, D1901, D2201, D2202",D_0402,CG0402MLC-3.3LG
USBLC6-2SC6,D1801,SOT-23-6,C7519
ESDR0524SMUTAG,"D1902, D2203",uDFN-10-WIDE,C890633
B5819WS,"D2001, D2003",SOD-323,B5819WS
CG0402MLC-12G,"D2002, D2004",D_0402,C2655559
BLUE,"D2301, D2305",LED_0402_BLUE,C434447
RED,D2302,LED_0402_RED,C130719
GREEN,D2303,LED_0402_GREEN,C130722
YELLOW,D2304,LED_0402_YELLOW,C434450
120@ 120MHz,"FB501, FB502, FB503, FB601",FB_0805,C88990
120@ 120MHz,FB701,FB_0603,C2661467
XT60PW-F,J401,XT60PW-F,C428722
501953-0307,"J1301, J1601, J1602, J1701, J1702, J2001, J2002",5019530307,C17588096
501568-0607,J1501,501568-0607,C505000
TYPE-C-31-M-12,J1801,TYPE-C-31-M-12,C165948
501568-0807,J2201,501568-0807,C587867
LPS4018-223MRC,"L501, L502",LPS4018,C5278935
LPS4018-222MRC,L503,LPS4018,C4354938
"TPW1R306PL,L1Q","Q901, Q902, Q1001, Q1002, Q1101, Q1102",PowerPAK-SO-8,C5965825
AO3404,"Q2001, Q2202, Q2301","SSM3J338R,LF-SOT23-F",C192925
14000.0%,"R501, R507",RES_0603,C185372
1000.0%,"R502, R504, R508, R510, R513, R514, R1302, R1303",RES_0603,C185372
0.0%,"R503, R509",RES_0603,C116699
10000.0%,"R505, R511, R1201",RES_0603,C14675
990.0%,"R506, R512",RES_0603,TBD
1000.0%,"R701, R702, R801, R802, R803, R1504, R1505, R1506, R1601, R1602, R1701, R1702, R2002, R2004, R2306",RES_0402,C427247
2200.0%,"R804, R805, R806, R1501, R1502, R1503, R1901, R1902, R1903, R1904",RES_0402,C114765
750.0%,"R901, R902, R1001, R1002, R1101, R1102",RES_0603,C137679
50.0%,"R903, R1003, R1103",RES_1206,C18724161
2200.0%,"R904, R905, R1004, R1005, R1104, R1105",RES_0805,C218436
03-31-00,R1202,RES_0603,C844460
4700.0%,R1301,RES_0603,C511055
39000.0%,"R1603, R1605",RES_0402,C412983
12000.0%,R1604,RES_0402,C412974
6040.0%,"R1703, R1704",RES_0402,C416565
04-30-00,"R1801, R1802",RES_0402,C413002
1000.0%,"R2001, R2003, R2305",RES_0402,C427198
100.0%,"R2301, R2302, R2303, R2304, R2307",RES_0402,C427210
LMR36506MSCQRPERQ1,U501,LMR36506MSC5RPERQ1,C1882561
LMR36506MSC5RPERQ1,U502,LMR36506MSC5RPERQ1,C1882564
TPS62172,U503,SON50P200X200X80-9N,C2650337
LP2992IM5-3.3/NOPB,U601,DBV0005A_L,C129353
DRV8353FS,U801,QFN50P600X600X80-41N-D,C1518717
SP3494CN-L/TR,U1501,SOIC-8,C3214182
TCAN330,U1701,SOIC-8,C73651
DGD0216,"U2001, U2002",TSOT25,C2676957
STM32G474RET6,U701,QFP50P1200X1200X160-64N,C521608
,,,

