Designator,Mid  X,Mid Y,Layer,Rotation
C2006,70.1000,69.0000,T,180
C2003,70.6000,62.4000,T,180
D1503,71.1000,49.3000,T,90
D1502,71.1000,51.6000,T,90
D1501,71.1000,54.4000,T,270
D1702,130.3000,47.0000,T,270
D1701,130.3000,43.8000,T,90
D1602,130.1000,54.4000,T,270
D1601,130.1000,51.8000,T,90
U701,99.2224,42.0225,T,225
R1904,75.0000,37.0000,T,270
R1903,74.0000,37.0000,T,270
R1902,73.0000,37.0000,T,270
R1901,72.0000,37.0000,T,270
R1503,73.7500,48.2500,T,180
R1502,73.7500,51.5000,T,180
R1501,73.7500,53.0000,T,180
C806,104.2500,64.5000,T,45
Q1102,76.9997,82.4999,T,90
Q1101,84.0000,82.3000,T,270
Q1002,105.2500,83.0000,T,90
Q1001,96.5000,82.7500,T,270
Q902,117.8850,82.5600,T,90
Q901,125.2500,82.2500,T,270
R2306,120.5000,62.2000,T,90
U2002,81.3250,55.2000,T,180
U2001,81.5750,61.8000,T,180
U1701,124.5250,45.6350,T,0
U1501,124.2500,52.5000,T,0
U801,99.6944,61.3837,T,225
U601,136.1500,67.0000,T,270
U503,130.8250,104.8000,T,90
U502,103.7000,106.4000,T,180
U501,88.2500,104.2500,T,270
R2307,120.5000,60.2000,T,90
R2305,119.5000,62.2000,T,270
R2304,102.2000,32.1000,T,270
R2303,97.5500,32.2000,T,270
R2302,100.6500,32.1000,T,270
R2301,99.1000,32.1000,T,270
R2003,78.0000,56.2500,T,0
R2002,77.7500,64.5000,T,270
R2001,78.2500,63.0000,T,0
R1802,76.2500,43.7500,T,180
R1801,76.2500,44.7500,T,180
R1704,129.0000,46.7500,T,270
R1703,129.0000,44.7500,T,270
R1702,127.1000,49.0000,T,270
R1701,127.3000,42.1000,T,90
R1605,128.7500,55.2500,T,270
R1604,128.7500,53.2500,T,270
R1603,128.7500,51.2500,T,270
R1602,119.5000,51.7500,T,90
R1601,119.5000,53.7500,T,90
R1506,73.7500,47.2500,T,180
R1505,73.7500,50.5000,T,180
R1504,73.7500,54.0000,T,180
R1303,117.2500,36.7500,T,180
R1302,131.2500,76.5000,T,270
R1301,132.7500,76.5000,T,90
R1202,65.7500,71.2500,T,0
R1201,65.7280,69.8500,T,180
R1105,72.2500,84.2500,T,90
R1104,88.7500,80.5000,T,270
R1103,75.2500,75.2500,T,90
R1102,80.3180,67.7740,T,90
R1101,85.0000,67.5000,T,90
R1005,101.0000,84.5000,T,90
R1004,91.7500,80.5000,T,270
R1003,107.2500,75.7500,T,90
R1002,101.5000,69.0000,T,0
R1001,92.5000,71.7500,T,90
R905,113.2500,84.2500,T,90
R904,130.1000,80.2000,T,270
R903,115.7500,75.5000,T,90
R902,121.0000,67.7500,T,90
R901,125.7500,67.7500,T,90
R806,90.0576,37.9822,T,45
R805,89.3505,38.6893,T,45
R804,87.9363,40.1036,T,45
R803,100.5000,56.0000,T,225
R802,96.2500,56.0000,T,315
R801,96.1000,50.4000,T,135
R702,106.5000,38.2500,T,135
R701,76.0000,37.0000,T,270
R514,121.8000,107.1500,T,90
R513,132.4000,102.2000,T,0
R512,103.3000,103.6500,T,90
R511,104.6000,103.6500,T,270
R510,107.2000,103.6000,T,270
R509,105.9000,103.6000,T,90
R508,108.5000,103.6000,T,90
R507,110.4000,104.6000,T,0
R506,92.2500,104.1000,T,180
R505,92.2500,105.4000,T,0
R504,90.2500,107.5000,T,90
R503,91.5000,107.5000,T,270
R502,89.0000,107.5000,T,270
R501,87.5000,107.5000,T,270
Q2301,122.6910,61.6030,T,270
Q2202,75.2500,58.2500,T,90
Q2001,75.5000,65.0000,T,90
L503,131.7500,109.2250,T,90
L502,97.1000,105.2000,T,270
L501,83.7500,101.5250,T,180
J2201,126.5000,33.0500,T,0
J2002,67.4500,59.3000,T,270
J2001,67.4500,65.5500,T,270
J1801,67.1250,40.5000,T,270
J1702,134.0500,39.2000,T,90
J1701,134.0500,45.4500,T,90
J1602,133.9630,59.5000,T,90
J1601,133.9630,53.2500,T,90
J1501,67.5000,51.5000,T,270
J1301,116.7500,33.0500,T,0
J401,68.5000,105.0000,T,90
FB701,89.5000,46.5000,T,225
FB601,137.1000,75.2000,T,270
FB503,121.3000,102.1000,T,0
FB502,115.9000,108.3000,T,270
FB501,77.2500,106.2500,T,270
D2305,122.0000,59.4500,T,0
D2304,102.2000,30.1000,T,270
D2303,97.5500,30.2000,T,270
D2302,100.6500,30.1000,T,270
D2301,99.1000,30.1000,T,270
D2203,127.7500,37.4000,T,0
D2202,125.0000,37.2500,T,180
D2201,122.2500,37.2500,T,0
D2004,72.7500,58.7500,T,90
D2003,72.7500,61.7500,T,90
D2002,72.7500,65.0000,T,90
D2001,72.7500,67.8850,T,90
D1902,73.7500,34.8500,T,180
D1901,69.1000,29.8000,T,0
D1801,74.0000,40.8000,T,270
D1506,75.5000,47.0000,T,270
D1505,75.5000,50.2500,T,270
D1504,75.4000,54.2000,T,90
D1302,117.2500,39.7500,T,180
D1301,130.5000,74.5000,T,180
D1103,79.7500,70.0000,T,0
D1102,79.0000,67.7500,T,90
D1101,83.5000,67.5000,T,90
D1003,103.5000,71.2000,T,90
D1002,101.5000,70.5000,T,0
D1001,91.2000,71.8000,T,90
D903,121.5000,70.5000,T,180
D902,122.2500,67.7500,T,90
D901,127.0000,67.7500,T,90
C2202,120.0000,36.7500,T,0
C2201,120.0000,38.2500,T,0
C2005,80.2500,52.7500,T,180
C2004,80.2500,51.5000,T,180
C2002,80.5000,59.5000,T,180
C2001,80.5000,58.2500,T,180
C1802,73.5000,43.5000,T,180
C1801,71.7500,44.2500,T,270
C1703,128.6000,42.2000,T,90
C1702,120.0000,45.5000,T,270
C1701,118.7500,45.5000,T,270
C1602,126.5000,56.0000,T,0
C1601,126.5000,57.2500,T,0
C1505,73.7500,46.2500,T,0
C1504,73.7500,49.5000,T,0
C1503,73.7500,55.0000,T,0
C1502,71.8000,55.8000,T,180
C1501,72.0000,57.0000,T,180
C1302,117.2500,38.2500,T,180
C1301,129.7500,76.5000,T,270
C1201,65.7500,72.7500,T,0
C1104,84.8500,76.5000,T,180
C1103,80.2500,76.8000,T,0
C1102,72.2500,80.5000,T,90
C1101,88.7500,84.2500,T,270
C1004,94.7500,76.7500,T,0
C1003,99.5000,76.5000,T,180
C1002,101.0000,80.7500,T,90
C1001,91.7500,84.2500,T,270
C904,126.2500,76.5000,T,180
C903,121.5000,77.0000,T,0
C902,113.2500,80.5000,T,90
C901,130.0000,84.0000,T,270
C811,106.5000,59.2500,T,135
C810,105.5303,58.2197,T,135
C809,88.6434,41.5178,T,315
C808,90.0576,40.1036,T,315
C807,91.4718,38.6893,T,135
C805,95.2500,58.2500,T,135
C804,94.2500,57.2500,T,135
C803,105.2500,63.5000,T,225
C802,108.0000,62.2500,T,135
C801,106.2500,61.5000,T,315
C716,77.0000,37.0000,T,90
C713,92.5000,46.0000,T,225
C712,91.5000,46.7500,T,225
C711,88.5000,47.5000,T,225
C706,108.0000,44.0000,T,135
C705,107.5000,39.5000,T,45
C704,91.0000,44.5000,T,225
C703,101.7500,50.0000,T,135
C702,96.7000,34.2000,T,315
C701,109.0000,45.0000,T,135
C605,135.8000,64.0000,T,180
C604,133.6000,66.5000,T,270
C603,136.0000,70.0000,T,180
C602,136.0000,72.3000,T,180
C601,136.1000,78.2000,T,180
C522,125.0000,109.2500,T,90
C521,128.0000,109.2500,T,90
C520,130.0000,101.0000,T,90
C519,124.5000,103.5000,T,270
C518,127.5000,103.5000,T,270
C517,118.2000,103.5000,T,270
C516,100.3000,100.1000,T,90
C515,97.2000,100.1000,T,90
C514,100.3000,106.6000,T,270
C513,102.0000,103.7000,T,90
C512,106.6000,108.9000,T,270
C511,110.1500,107.6500,T,270
C510,113.4000,107.6500,T,270
C509,114.4000,111.6500,T,0
C508,79.7500,100.5000,T,90
C507,76.7500,100.5000,T,90
C506,88.0500,101.6250,T,0
C505,91.8500,102.8500,T,180
C504,85.7500,106.5000,T,270
C503,83.0000,106.7500,T,270
C502,80.0000,106.7500,T,270
C501,76.7500,110.2500,T,270
R2004,77.5000,57.7500,T,270
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

